cd_trial,cd_same_probe,cd_acc,cd_rt
1,0,1,1.5348895554197952
2,1,1,1.5703317684819922
3,0,1,1.4470861390582286
4,1,1,1.0345669699599966
5,0,1,1.5617358550662175
6,0,1,1.2801827006042004
7,0,1,1.2333443665411323
8,0,1,0.8684980059042573
9,0,1,0.8510661287000403
10,1,1,0.9672795934020542
11,0,1,1.2991347067872994
12,0,1,1.16427656885935
13,1,1,1.0294574889703654
14,0,1,1.1493292986997403
15,1,1,1.0731623387546279
16,1,1,0.8963392886798829
17,1,1,0.8468957523000427
18,0,1,1.074381692102179
19,1,1,1.606247810064815
20,1,1,0.8903548497473821
21,1,1,0.9668898679083213
22,1,1,0.7614589133299887
23,0,1,1.2360308211063966
24,1,1,0.9462110385065898
25,0,0,0.772404583520256
26,0,1,1.3312444388866425
27,0,1,1.0944589700666256
28,1,1,1.2219559430377558
29,0,1,1.0627971229259856
30,1,1,1.0936589921475388
31,0,1,1.1642021589213982
32,1,1,0.9930134505266324
33,1,0,1.7058841138496064
34,0,1,1.0816681620199233
35,0,1,1.0548144498607144
36,1,1,1.1976481334422715
37,1,0,1.0824752672342584
38,0,1,1.0832875042106025
39,0,1,0.9658227555919439
40,1,1,1.0296256953151897
41,0,1,1.1238873793045059
42,1,1,2.7500285808346234
43,0,1,1.7409591238829307
44,0,1,1.23841108311899
45,0,1,1.1252467144513503
46,1,1,0.9524292556452565
47,1,1,1.108002145017963
48,0,1,1.4568326977314427
49,1,1,1.2089330672752112
50,1,0,0.7031335128122009
51,0,1,1.0733938362682238
52,1,0,1.033491589827463
53,0,1,1.1064298435812816
54,1,0,1.2175626219250262
55,1,1,0.8207100188592449
56,1,0,1.0635603234404698
57,0,1,0.9694121074862778
58,0,1,1.7255958993919194
59,1,0,1.0623298514983617
60,1,1,1.4045108374557458
61,1,1,1.0899929495644756
62,0,1,0.9504945978405885
63,1,1,1.0047131982282735
64,0,1,3.0524974790168926
65,1,1,1.2210952398600057
66,1,1,0.9855915602529421
67,0,0,1.1831116858520545
68,0,1,1.005969328864012
69,0,1,1.1778131866594777
70,0,1,2.8069091175566427
71,0,1,1.0655386009602807
72,0,1,1.028067363484297
73,0,1,0.9052713296259753
74,0,1,0.9918351509841159
75,0,1,0.908668527205009
76,0,1,0.7702347219455987
77,0,1,0.733126696140971
78,0,1,0.5683378108078614
79,1,1,1.2838912223814987
80,1,0,1.9773919295985252
81,1,1,0.7977786501869559
82,1,0,1.0660318160662428
83,0,1,1.0095227587153204
84,0,1,0.9186927689006552
85,1,1,1.3065882425871678
86,1,0,1.2230675302562304
87,1,1,3.7538437283365056
88,0,1,1.1623447619494982
89,1,1,1.1635415927157737
90,1,1,1.7573706443654373
91,0,1,1.9914120692992583
92,1,1,2.1684158699354157
93,1,1,2.496507152915001
94,1,0,1.249474212701898
95,1,1,1.0176354353316128
96,1,1,2.188117962272372
