block,trial,trials_colorind,trials_colorrgb0,trials_colorrgb1,trials_colorrgb2,wm_respdeg,wm_respdeg_in_colorspace,wm_respcolorminusorigcolor,wm_resptexind,wm_resptexrgb0,wm_resptexrgb1,wm_resptexrgb2,wm_rts,time_blockstart,time_encarray_offset,time_encarray_onset,time_iti_offset,time_iti_onset,time_memprobe_offset,time_memprobe_onset
1,1,419,0.107894673663,0.454841969249,-0.678098861371,142.773282718,307.226717282,12.6173422824,437.0,0.23613482661,0.429770237144,-1.0,1.64036893798,65.5798787652,66.5926918802,67.4011312081,70.068125071,71.0675038444,68.409586045,70.0597962467
1,2,8,0.91102658764,0.177400941622,-1.0,86.1171014396,3.88289856036,-1.74210143964,6.0,0.895129075663,0.186272780825,-1.0,1.34806923755,65.5798787652,71.085027047,71.8933799905,74.2686705757,75.2686560354,72.9018382486,74.2603494492
1,3,127,1.0,-0.31111021432,-0.167036648065,-23.2653687812,113.265368781,23.9684937812,161.0,1.0,-0.223158351501,0.167490545043,1.41943272529,65.5798787652,75.2854901585,76.0939232144,78.5358900074,79.535804193,77.1023803321,78.5275720167
1,4,33,1.0,0.0565990290419,-1.0,73.8754433962,16.1245566038,-7.07856839623,23.0,1.0,0.106943944166,-1.0,1.84808121156,65.5798787652,79.5527418065,80.3611660241,83.236515339,84.2359559787,81.3696009042,83.2281788173
1,5,256,0.481312611765,0.257047908656,0.656065722404,-68.1985905136,158.198590514,-21.8014094864,225.0,0.81146624694,0.115131125244,0.600981946568,1.01142155658,65.5798787652,84.2533246586,85.0617491612,87.0953330188,88.0951266089,86.0702094152,87.0870144581
1,6,506,0.797774742377,0.236703125255,-1.0,88.9769698113,1.02303018867,5.24178018867,1.0,0.854939129564,0.207877072944,-1.0,2.3444607649,65.5798787652,88.1121728439,88.9205933553,92.2876637382,93.2872988139,89.9290427752,92.2793474584
1,7,93,1.0,-0.245614297951,-0.538619881923,28.4520203062,61.5479796938,-3.84264530622,88.0,1.0,-0.225257592204,-0.599932847766,2.01604212355,65.5798787652,93.3044716325,94.1129788132,97.1549630542,98.1545029078,95.1213814775,97.1466436386
1,8,308,-0.0186828559465,0.413097475488,0.481682330771,-127.077678347,217.077678347,0.515178346999,309.0,-0.0258396312562,0.415106541901,0.475305697888,1.30061655072,65.5798787652,98.1717823525,98.9802193991,101.305485438,102.305616582,99.9886813634,101.297183128
1,9,265,0.384259149088,0.291568309415,0.649478858709,-82.2235708051,172.223570805,-14.1045541949,245.0,0.600577697281,0.210610106048,0.650172825369,1.35000960762,65.5798787652,102.322328113,103.130749765,105.506048333,106.505785474,104.139217717,105.497724071
1,10,323,-0.11001989341,0.43965344528,0.375855360355,-137.012761325,227.012761325,-0.0966136753933,323.0,-0.11001989341,0.43965344528,0.375855360355,0.901382093318,65.5798787652,106.522888728,107.331310665,109.256534566,110.25591619,108.33977263,109.24821629
1,11,39,1.0,0.0253789930673,-1.0,65.188353683,24.811646317,-2.61022868299,35.0,1.0,0.0462653595507,-1.0,1.23886225792,65.5798787652,110.27340062,111.081796043,113.34038958,114.340054875,112.090223795,113.332070734
1,12,154,1.0,-0.251813147593,0.102138173725,-22.1238099876,112.123809988,3.84255998765,159.0,1.0,-0.231765974528,0.149055008463,1.8028890593,65.5798787652,114.357208877,115.165644214,117.990999487,118.990220317,116.174106178,117.982697177
1,13,481,0.589289488337,0.325611856148,-1.0,113.165337018,336.834662982,-1.36846201795,479.0,0.572572153349,0.331768222426,-1.0,1.39214124391,65.5798787652,119.007805101,119.816246709,122.233239574,123.233398944,120.824747447,122.224889368
1,14,142,1.0,-0.289568116499,-0.0146273521697,-10.3272538902,100.32725389,0.483503890194,143.0,1.0,-0.287057525782,-0.00469998909502,1.61390423775,65.5798787652,123.250046043,124.058465699,126.692195298,127.691540145,125.066929659,126.683798336
1,15,331,-0.143297839787,0.450801753776,0.311166711333,-147.587693382,237.587693382,4.85331838165,338.0,-0.162891363375,0.458928707883,0.250399161362,2.30686901323,65.5798787652,127.708959003,128.517357561,131.851179931,132.850741167,129.525838627,131.842800075
1,16,233,0.728670395113,0.154909781369,0.626482233315,-57.5489609899,147.54896099,-16.2791640101,210.0,0.958022500947,0.0359304984579,0.533421856807,0.939773541875,65.5798787652,132.867949337,133.67637498,135.643298025,136.64285641,134.68483894,135.634957227
1,17,448,0.32026743599,0.409662251776,-1.0,150.286291594,299.713708406,-15.2862915942,426.0,0.156193047225,0.446210853967,-0.81485970128,1.50753568439,65.5798787652,136.660120744,137.468540685,140.002180137,141.002053839,138.476995522,139.993929429
1,18,275,0.279002393219,0.326185254474,0.630178474337,-71.8109543003,161.8109543,-31.5484206997,230.0,0.760023132926,0.140224214653,0.61781109556,1.38056402467,65.5798787652,141.019003141,141.827448741,144.227729789,145.227185254,142.835893599,144.219404672
1,19,75,1.0,-0.164714458691,-0.791355921409,42.6808775041,47.3191224959,-5.41525250412,67.0,1.0,-0.12380466598,-1.0,1.33890279848,65.5798787652,145.244555075,146.05298699,148.411603962,149.411331694,147.061447529,148.40328369
1,20,210,0.958022500947,0.0359304984579,0.533421856807,-38.3426030271,128.342603027,-19.3136469729,183.0,1.0,-0.113108999915,0.354902835149,0.978899114765,65.5798787652,149.428427536,150.236868574,152.237102068,153.236468868,151.245355342,152.228776666
1,21,150,1.0,-0.266152531622,0.0638227105866,-7.37672600695,97.3767260069,-8.09202399305,138.0,1.0,-0.29832987918,-0.0546508148191,1.06534936652,65.5798787652,153.25391538,154.06234758,156.154280247,157.153602856,155.070826365,156.145947146
