"expt_date,12/07/2018 14:18"
"subj_name,1207185_wmPrecis01"
"seed,1544213920"
"restarting,False"
"env,booth"
"save_dir,./../subjects/"
"debug,False"
"project_dir,./../"

"expt_date,12/07/2018 14:18"
"subj_name,1207185_wmPrecis01"
"seed,1544213939"
"restarting,False"
"env,booth"
"save_dir,./../subjects/"
"debug,False"
"project_dir,./../"

block,trial,colorind,colordeg,colorrgb0,colorrgb1,colorrgb2,wm_respdeg,wm_colorind,wm_colorrgb0,wm_colorrgb1,wm_colorrgb2,wm_degdiff,wm_rts,timeBlockStart,timeEncArrayOnset,timeEncArrayOffset,timeProbeOnset,timeProbeOffset
0,0,321,225.703125,-0.0999433513493,0.43654647086,0.391174984052,-126.406182937,308.0,-0.0186828559465,0.413097475488,0.481682330771,-9.29694206329,3.3663716102,36.4761473588,37.4909892241,38.2994271261,39.3078853842,42.6833219388
0,1,257,180.703125,0.470472903111,0.261039853404,0.655841377839,-89.2361015391,255.0,0.492159363509,0.253017189294,0.656163111527,-1.46702346093,3.53270404832,36.4761473588,43.7084763334,44.5169239286,45.5253867484,49.0674804663
0,2,401,281.953125,-0.00506340639596,0.470796889516,-0.425203102762,-170.495641277,370.0,-0.144805996584,0.478178727438,-0.0671803333712,-21.4574837225,2.10044452315,36.4761473588,50.0926288739,50.901083882,51.9095321614,54.0181310293
0,3,0,0.0,0.846831709088,0.212097570855,-1.0,92.7988985136,508.0,0.814199817736,0.228638933499,-1.0,-2.79889851358,2.98974249465,36.4761473588,55.0432862788,55.8517227555,56.860157636,59.8605473633
0,4,338,237.65625,-0.162891363375,0.458928707883,0.250399161362,-159.762905724,355.0,-0.173737462994,0.472683863687,0.0888799762457,12.1066557239,4.76313000033,36.4761473588,60.8856986216,61.6941236947,62.7025828077,67.4698661012
0,5,84,59.0625,1.0,-0.20765784414,-0.652191087791,45.7206636225,63.0,1.0,-0.102744642793,-1.0,-14.7831636225,6.35365286237,36.4761473588,68.4950102321,69.3034059401,70.3119043969,76.6710741716
0,6,177,124.453125,1.0,-0.145192147526,0.306921212481,-38.1856471106,182.0,1.0,-0.118523835432,0.347089474713,3.73252211059,3.28827612661,36.4761473588,77.696182095,78.5046097334,79.5131144626,82.8051980599
0,7,336,236.25,-0.158211608236,0.456758111158,0.268135266647,-168.741087797,368.0,-0.150457169737,0.477793263397,-0.0457341785459,22.491087797,3.12204603851,36.4761473588,83.8303447566,84.6387746758,85.6472315085,88.7726633591
0,8,456,320.625,0.383612429175,0.392633185378,-1.0,135.707319369,447.0,0.312467642152,0.411646472288,-1.0,-6.33231936854,4.01850051526,36.4761473588,89.7977447687,90.6062014871,91.6146648768,95.6401936035
0,9,35,24.609375,1.0,0.0462653595507,-1.0,68.3372090646,31.0,1.0,0.0668515730764,-1.0,-2.94658406459,2.67075999454,36.4761473588,96.665324335,97.4737702198,98.4822675362,101.157561143
0,10,334,234.84375,-0.152796554809,0.454467054946,0.285576400052,-161.878139752,358.0,-0.170583909915,0.474268316859,0.0585874414746,17.0343897521,4.57728409767,36.4761473588,102.182712972,102.991140611,103.99960286,108.583525726
0,11,387,272.109375,-0.0787219327085,0.477231755363,-0.256974454483,171.799853941,396.0,-0.0330153705648,0.473684876347,-0.363523780775,6.0907710595,4.43917683372,36.4761473588,109.608687533,110.417099206,111.425557179,115.867799091
0,12,330,232.03125,-0.139766326074,0.449518327743,0.319540245599,-146.173838242,336.0,-0.158211608236,0.456758111158,0.268135266647,4.14258824181,2.95478076348,36.4761473588,116.892960613,117.701372571,118.709835391,121.668574441
0,13,44,30.9375,1.0,-0.00106984144607,-1.0,68.0133178223,31.0,1.0,0.0668515730764,-1.0,-8.95081782226,2.27392576868,36.4761473588,122.693676377,123.502162461,124.510586222,126.794179915
0,14,115,80.859375,1.0,-0.305166285737,-0.293172749504,-5.47736872883,136.0,1.0,-0.301914900238,-0.074841205769,14.6179937288,4.07608811511,36.4761473588,127.819359398,128.627785897,129.636256129,133.720107721
0,15,253,177.890625,0.513865899396,0.244839928328,0.655977188727,-96.6666598909,265.0,0.384259149088,0.291568309415,0.649478858709,8.7760348909,2.94205517275,36.4761473588,134.745248716,135.553681486,136.562173956,139.512580761
0,16,503,353.671875,0.773020196022,0.248538461814,-1.0,99.6705181649,498.0,0.731507943485,0.267561876527,-1.0,-3.34239316492,6.93351195613,36.4761473588,140.537680416,141.346118319,142.354569164,149.297138367
0,17,281,197.578125,0.218083397074,0.345068392493,0.612644422055,-101.604762356,273.0,0.299732959835,0.319577193062,0.635038033336,-5.97336264362,2.62874524808,36.4761473588,150.322348641,151.130730093,152.13918493,154.772836413
0,18,226,158.90625,0.801265930663,0.120208988367,0.60458276857,-73.8493663637,233.0,0.728670395113,0.154909781369,0.626482233315,4.94311636372,2.81690613832,36.4761473588,155.797953745,156.606433841,157.614890959,160.440233118
0,19,426,299.53125,0.156193047225,0.446210853967,-0.81485970128,142.341225811,438.0,0.243622561222,0.428096439079,-1.0,8.12752418864,4.54135588696,36.4761473588,161.465373543,162.273816006,163.282274835,167.832857316
0,20,358,251.71875,-0.170583909915,0.474268316859,0.0585874414746,-169.892573123,370.0,-0.144805996584,0.478178727438,-0.0671803333712,8.17382312347,4.28459409904,36.4761473588,168.858008004,169.666433647,170.67489105,174.967117766
0,21,441,310.078125,0.266287261384,0.422891888867,-1.0,140.38931176,440.0,0.258699398066,0.424657399123,-1.0,-0.467436759973,4.70221360726,36.4761473588,175.992263037,176.800684119,177.809146938,182.518093396
0,22,205,144.140625,1.0,0.00854800403903,0.505535240796,-59.966719564,213.0,0.929785093221,0.0521668813814,0.548906519778,5.826094564,4.22305362858,36.4761473588,183.54323097,184.351670298,185.360129981,189.594017296
