block,trial,trials_colorind,trials_colorrgb0,trials_colorrgb1,trials_colorrgb2,wm_respdeg,wm_respdeg_in_colorspace,wm_respcolorminusorigcolor,wm_resptexind,wm_resptexrgb0,wm_resptexrgb1,wm_resptexrgb2,wm_rts,time_blockstart,time_encarray_offset,time_encarray_onset,time_iti_offset,time_iti_onset,time_memprobe_offset,time_memprobe_onset
1,1,286,0.169078956243,0.359734776014,0.594698705761,-111.264124661,201.264124661,0.170374660552,286.0,0.169078956243,0.359734776014,0.594698705761,1.2984569408,28.052366619,29.0711342697,29.879569036,32.2048704266,33.205034357,30.8880247283,32.1965256371
1,2,200,1.0,-0.0191209939188,0.47515178387,-51.8570723341,141.857072334,1.2320723341,202.0,1.0,-0.00802826454356,0.487596984314,0.995820478071,28.052366619,33.2216748996,34.0300974064,36.0470315986,37.0471972399,35.0385682085,36.0387141784
1,3,413,0.0683106243366,0.461143133648,-0.585495598612,-75.2032377549,165.203237755,-125.187387245,235.0,0.707591924495,0.164537776567,0.631659631194,0.921573518775,28.052366619,37.0638394929,37.8722682716,39.8141697776,40.8142880928,38.8807282406,39.8058440895
1,4,358,-0.170583909915,0.474268316859,0.0585874414746,-147.630216063,237.630216063,-14.0885339374,338.0,-0.162891363375,0.458928707883,0.250399161362,1.12232201267,28.052366619,40.8310007649,41.6394466497,43.7813519756,44.7814346538,42.6478815298,43.773038547
1,5,68,1.0,-0.129018143495,-0.972903198114,78.593447416,11.406552584,-36.405947416,16.0,0.973419431522,0.140652110383,-1.0,1.69107059063,28.052366619,44.7981741247,45.6066031889,48.3235962251,49.3235902381,46.6150594512,48.3152779499
1,6,277,0.258470646878,0.33263615818,0.624824240443,-103.427384565,193.427384565,-1.33824043535,275.0,0.279002393219,0.326185254474,0.630178474337,1.14073243691,28.052366619,49.340420085,50.148857987,52.3157885582,53.3157346752,51.1573128239,52.3074551728
1,7,231,0.749609680972,0.145151270079,0.620821461523,-88.3788540863,178.378854086,15.9569790863,254.0,0.503011129055,0.248947817922,0.65613358125,1.21251587244,28.052366619,53.3325787769,54.1410289379,56.3746628016,57.3738950351,55.1494948938,56.3663473772
1,8,375,-0.128556699755,0.478682433309,-0.121605159467,-165.899881665,255.899881665,-7.77199333501,364.0,-0.160194321586,0.476704516321,-0.00341124574885,1.22553967452,28.052366619,57.3914661342,58.1999200019,60.4501750213,61.4500387446,59.2083808258,60.4418424908
1,9,420,0.1146601879,0.45369410126,-0.695047497311,-168.481340655,258.481340655,-36.8311593449,368.0,-0.150457169737,0.477793263397,-0.0457341785459,1.13393230317,28.052366619,61.4669965999,62.2754208175,64.4340282669,65.4341155067,63.2838844922,64.4257008685
1,10,97,1.0,-0.260369742894,-0.491718830742,15.8759465052,74.1240534948,5.92092849478,105.0,1.0,-0.285049837405,-0.401580786678,1.26198020391,28.052366619,65.4508487051,66.2592729228,68.5428885687,69.542309822,67.2677340321,68.5345603148
